module,59,31.894,n.模数；模；组件
support,30,40.453,vt.经受，承受，忍受
line,26,43.859,vt.加衬里于
can,26,44.117,vt.装罐头
default,20,48.198,n.&vi.不履行；缺席
set,17,50.362,n.集(合)
version,16,51.673,n.解释
value,14,53.043,vt.尊重，重视，评价
should,10,59.140,v.aux.应该，竟然会
number,9,61.215,vt.共计，达…之数
replace,7,65.624,vt.送还，归还，赔还
random,7,65.694,n.随机 a.随机的
mock,7,66.180,n.嘲弄 vt.嘲弄，挖苦
client,7,66.945,n.顾客；诉讼委托人
between,7,67.153,ad.当中，中间
raise,6,68.563,vt.提出，发起，发出
message,6,68.980,n.启示，要旨，教训
decimal,6,69.814,a.小数的，十进制的
count,6,69.933,n.起拆理由，罪状
context,6,69.993,n.上下文；来龙去脉
console,6,70.172,n.悬臂，肘托；控制台
check,6,70.291,n.支票，帐单
block,6,70.351,n.阻塞；障碍物；炮闩
abstract,6,70.768,a.理论上的 n.抽象
warning,5,70.966,n.警告，告诫，鉴诫
usage,5,71.115,n.习惯法
representation,5,71.860,n.描写；陈述；代表
platform,5,72.058,n.政纲，党纲，宣言
interface,5,72.753,n.分界面
what,4,74.501,a.所…的，尽可能多的
way,4,74.541,n.状态，状况，规模
replacement,4,75.494,n.归还；取代；置换
pickle,4,75.772,n.腌制食品，泡菜
parameter,4,75.851,n.参(变)数；参量
input,4,76.527,vt.输入 n.输入
generate,4,76.924,vt.发生，产生；生成
custom,4,77.758,n.海关，关税
correctly,4,77.837,ad.正确地，恰当地
body,4,78.195,n.物体；(液)体；实质
array,4,78.433,vt.装扮 n.队列；排列
summary,3,78.910,a.概括的；速决的
section,3,79.654,n.切下的部分
range,3,80.191,vt.排列；把…分类
presentation,3,80.459,n.介绍；赠送；呈现
particular,3,80.637,a.苛求的；特称的
notable,3,80.846,n.值得注意的；著名的
negative,3,80.906,a.负的，阴性的
length,3,81.263,n.程度，范围
initial,3,81.501,a.词首的
except,3,82.246,vt.把…除外，除去
equivalent,3,82.306,a.等面(体)积的
virtual,2,84.033,a.实际上的，实质上的
trigger,2,84.331,n.扳机 vt.触发，引起
through,2,84.530,prep.因为，由于
start,2,84.907,vt.开动，着手；开设
simple,2,85.066,a.单纯的；迟钝的
significant,2,85.086,a.有效的
sequence,2,85.265,n.序列
reference,2,85.682,n.参考文献；参照系
option,2,86.496,n.选择，取舍
modification,2,86.833,n.缓和；修改；修饰
main,2,87.072,n.总管道，干线
literal,2,87.171,a.文字(上)的；字面的
invalid,2,87.429,n.病人 a.有病的
fraction,2,88.065,n.分数；分馏的部分
filter,2,88.164,vi.滤过
execution,2,88.402,n.实行，执行；处死刑
even,2,88.502,a.同一日期的
entry,2,88.581,n.通道；条目
derivation,2,89.157,n.引出；起源；衍生
define,2,89.197,vt.规定；立(界限)
currently,2,89.296,ad.普遍地；当前
cross,2,89.336,a.易怒的；杂交的
compact,2,89.495,a.紧密的 vt.使紧凑
blue,2,89.812,a.伤心的；下流的
assert,2,90.011,vt.断言，宣称；维护
transaction,1,91.093,n.处理；交易；和解
track,1,91.113,vi.留下足迹
substantial,1,91.550,a.物质的；坚固的
statistics,1,91.689,n.统计，统计数字
situation,1,91.947,n.(建筑物等的)位置
shell,1,92.056,n.炮弹，猎枪子弹
sensible,1,92.146,a.明显的，感觉得到的
selection,1,92.185,n.精选的东西；选择
second,1,92.215,vt.支持
scope,1,92.255,n.眼界
row,1,92.384,n.吵嚷，吵架，口角
reject,1,92.751,vt.舍弃，抛弃；排斥
rate,1,92.950,n.价格 vt.对…评定
proper,1,93.149,a.合乎体统的，正派的
priority,1,93.228,n.先，前；优先，重点
positive,1,93.347,a.正的；阳性的
position,1,93.357,n.主张，立场；形势
plain,1,93.496,a.坦白的；普通的
pattern,1,93.655,vt.仿制，仿造，模仿
overflow,1,93.784,vt.从…中溢出
over,1,93.794,prep.在(做)…时
outside,1,93.804,prep.在…外，向…外
operation,1,93.893,n.运算
numerical,1,94.032,a.数字的，数值的
log,1,94.866,n.航海日志；飞行日志
location,1,94.886,n.定位，测位；测量
kernel,1,95.293,n.(果实的)核；谷粒
infer,1,95.780,vt.&vi.猜想，臆测
implement,1,95.859,n.工具，服装 vt.贯彻
house,1,95.969,n.议院，会议厅
hook,1,96.028,vt.用钩连接，用钩挂
global,1,96.316,a.球面的；全球的
fair,1,96.842,a.美丽的
extra,1,96.902,n.附加物；额外的人手
explicit,1,96.991,a.明晰的；直率的
end,1,97.210,n.目标，目的
distinct,1,97.547,a.独特的
directory,1,97.637,n.姓名地址录；董事会
detail,1,97.726,n.琐碎，小事
curly,1,98.004,a.卷曲的；有卷毛的
crash,1,98.084,vi.撞坏，摔坏，砸碎
convert,1,98.183,vt.转变，改变，变换
contrast,1,98.223,vt.使对比vi.形成对比
consistent,1,98.322,a.前后一致的，连贯的
compression,1,98.451,n.压缩，压紧，浓缩
compensation,1,98.580,n.补偿，赔偿，赔偿费
compatible,1,98.590,a.一致的；兼容制的
clinic,1,98.699,n.诊所，医务室；会诊
bug,1,99.037,n.虫子；臭虫
assumption,1,99.384,n.采取；假定；傲慢
ambiguous,1,99.722,a.模棱两可的；分歧的
